val_acc,val_f1,folder,batch_size,learning_rate
0.6344444444444445,0.3050041479955399,./tmp/results_vgg_l/20241023163155,128,0.001
0.04377777777777778,0.00016310337227242673,./tmp/results_vgg_l/20241023164508,128,0.01
0.6488888888888888,0.31678469875853266,./tmp/results_vgg_l/20241023164702,256,0.001
0.04511111111111111,0.00018057696542611763,./tmp/results_vgg_l/20241023165927,256,0.01
0.6206666666666667,0.2663690669680142,./tmp/results_vgg_s/20241023170111,128,0.001
0.09244444444444444,0.0030798632376602985,./tmp/results_vgg_s/20241023171232,128,0.01
0.6388888888888888,0.2738340179297578,./tmp/results_vgg_s/20241023171512,256,0.001
0.18755555555555556,0.016073114880421024,./tmp/results_vgg_s/20241023172742,256,0.01
0.7557777777777778,0.41306930609367254,./tmp/results_res/20241023173236,128,0.001
0.7484444444444445,0.4149750532333379,./tmp/results_res/20241023173845,128,0.01
0.7633333333333333,0.44736681771585596,./tmp/results_res/20241023174401,256,0.001
0.7717777777777778,0.4626268536451763,./tmp/results_res/20241023175229,256,0.01
