val_acc,val_f1,folder,batch_size,learning_rate
0.6462222222222223,0.30869015650082127,./tmp/results_vgg_lr/20241023152128,128,0.001
0.11377777777777778,0.004184031911017529,./tmp/results_vgg_lr/20241023153323,128,0.01
0.6337777777777778,0.3046396648503718,./tmp/results_vgg_lr/20241023153659,256,0.001
0.04511111111111111,0.0001674746584398413,./tmp/results_vgg_lr/20241023154540,256,0.01
0.5962222222222222,0.24066439757694064,./tmp/results_vgg_sr/20241023155034,128,0.001
0.16644444444444445,0.007556558570995615,./tmp/results_vgg_sr/20241023155659,128,0.01
0.5691111111111111,0.20964560631300522,./tmp/results_vgg_sr/20241023160131,256,0.001
0.27066666666666667,0.03369122861935339,./tmp/results_vgg_sr/20241023160625,256,0.01
0.7466666666666667,0.39982962520118653,./tmp/results_resr/20241023161148,128,0.001
0.6526666666666666,0.3008153190533532,./tmp/results_resr/20241023161844,128,0.01
0.7604444444444445,0.42386910280583523,./tmp/results_resr/20241023162234,256,0.001
0.5271111111111111,0.1910517085934891,./tmp/results_resr/20241023162919,256,0.01
