val_acc,val_f1,folder,batch_size,learning_rate
0.6275555555555555,0.29374191179856524,./results_vgg_lr/20241022160643,128,0.001
0.04377777777777778,0.00016310337227242673,./results_vgg_lr/20241022161141,128,0.01
0.6366666666666667,0.2982776059998322,./results_vgg_lr/20241022161332,256,0.001
0.10577777777777778,0.0036165068006580757,./results_vgg_lr/20241022161818,256,0.01
0.5831111111111111,0.2286680770460947,./results_vgg_sr/20241022162136,128,0.001
0.15977777777777777,0.01204863606943334,./results_vgg_sr/20241022162508,128,0.01
0.6162222222222222,0.24401436556698947,./results_vgg_sr/20241022162653,256,0.001
0.22066666666666668,0.025175200861783164,./results_vgg_sr/20241022163144,256,0.01
0.7186666666666667,0.39054179112819426,./results_resr/20241022163451,128,0.001
0.7166666666666667,0.3823684657830779,./results_resr/20241022163646,128,0.01
0.7837777777777778,0.44836195131328843,./results_resr/20241022164025,256,0.001
0.7442222222222222,0.39642189961407326,./results_resr/20241022164535,256,0.01
