val_acc,val_f1,folder,batch_size,learning_rate
0.6182222222222222,0.2789985610165816,./results_vgg_l/20241022113355,128,0.001
0.08866666666666667,0.002790595549306692,./results_vgg_l/20241022113845,128,0.01
0.6357777777777778,0.29101418070456303,./results_vgg_l/20241022113953,256,0.001
0.04511111111111111,0.0001674746584398413,./results_vgg_l/20241022114604,256,0.01
0.6297777777777778,0.25726662948128665,./results_vgg_s/20241022114709,128,0.001
0.166,0.011374329715020315,./results_vgg_s/20241022115303,128,0.01
0.5542222222222222,0.21308021298514343,./results_vgg_s/20241022115926,256,0.001
0.2591111111111111,0.03039821155005797,./results_vgg_s/20241022120522,256,0.01
0.7437777777777778,0.41933259935099143,./results_res/20241022120952,128,0.001
0.676,0.32857698056070966,./results_res/20241022122006,128,0.01
0.7293333333333333,0.39047904820467877,./results_res/20241022122147,256,0.001
0.6344444444444445,0.28457126079468514,./results_res/20241022122538,256,0.01
