val_acc,val_f1,folder,batch_size,learning_rate
0.6071111111111112,0.27963243515359304,./results_vgg_l/20241022170217,128,0.001
0.08555555555555555,0.0023901807218196834,./results_vgg_l/20241022170824,128,0.01
0.5933333333333334,0.24993599249613982,./results_vgg_l/20241022170942,256,0.001
0.04377777777777778,0.0001674746584398413,./results_vgg_l/20241022171421,256,0.01
0.6268888888888889,0.26863812863439823,./results_vgg_s/20241022171523,128,0.001
0.12155555555555556,0.00531071414887275,./results_vgg_s/20241022172232,128,0.01
0.6068888888888889,0.2474525009825636,./results_vgg_s/20241022172434,256,0.001
0.25177777777777777,0.03512826708707653,./results_vgg_s/20241022173130,256,0.01
0.7015555555555556,0.35345579223078244,./results_res/20241022173612,128,0.001
0.746,0.4013144624880873,./results_res/20241022173826,128,0.01
0.774,0.45050215248763953,./results_res/20241022174038,256,0.001
0.7697777777777778,0.4440595839098442,./results_res/20241022174501,256,0.01
